stash_address,Commission (in %),Self Stake (in DOT),Era Points,Cluster Size,Voters
11BgR7fH8Sq6CcGcXxZrhyrBM2PUpDmhnGZpxPGvVGXEiPT,10,1,880,1,451
11MJU5Q1rQh5BKuuECePhSAutv3WEVx6f2x9eZk9HXkCC1e,5,1,1080,6,475
11uMPbeaEDJhUxzU4ZfWW9VQEsryP9XqFcNRfPdYda6aFWJ,3,22,860,13,1328
14Vh8S1DzzycngbAB9vqEgPFR9JpSvmF1ezihTUES1EaHAV,1,10883.1,880,2,850
1A2ATy1FEu5yQ9ZzghPLsRckPQ7XLmq5MJQYcTvGnxGvCho,8,1,940,1,409
1ChRPtPxrTfFTSWyKHtF6ASvaSjL5jqz6f68ih15zcjyM1V,3,5349.8,960,1,385
1LMtHkfrADk7awSEFC45nyDKWxPu9cK796vtrf7Fu3NZQmB,2,3,880,8,900
1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,1,570807.4,820,3,2569
1RG5T6zGY4XovW75mTgpH6Bx7Y6uwwMmPToMCJSdMwdm4EW,5,1920.9,920,1,703
1RJP5i7zuyBLtgGTMCD9oF8zQMTQvfc4zpKNsVxfvTKdHmr,2,3,780,8,998
1StVBqjDJKogQTsLioHC44iFch1cEAv2jcpsnvsy5buBtUE,2,5153.7,920,1,402
1WG3jyNqniQMRZGQUc7QD2kVLT8hkRPGMSqAb5XYQM1UDxN,10,604440.2,860,1,458
1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,1.5,3801.3,860,1,1166
1hYyu9C3dupTiKGMNcrCRK6HVPS7LYznuofDXsia3N1W6AK,5,1,1220,6,279
